Time(s),BlinkRate,Gaze
5,0,UNKNOWN
10,1,UNKNOWN
15,1,UNKNOWN
20,1,UNKNOWN
25,1,CENTER
30,2,UNKNOWN
35,2,CENTER
40,3,UNKNOWN
